City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zheleznogorsk-ilimskiy,56.5768,104.1217,288.85,71,100,1.6,RU,1723924215
1,ushuaia,-54.8,-68.3,277.96,81,75,6.17,AR,1723923932
2,haiku-pauwela,20.9219,-156.3051,301.07,77,40,9.77,US,1723924215
3,weligama,5.9667,80.4167,300.88,91,100,4.51,LK,1723924215
4,holualoa,19.6228,-155.9522,299.74,92,100,2.57,US,1723924215
5,waitangi,-43.9535,-176.5597,284.16,97,100,4.47,NZ,1723924215
6,iqaluit,63.7506,-68.5145,283.0,66,75,2.57,CA,1723924215
7,edinburgh of the seven seas,-37.0676,-12.3116,286.65,93,100,16.52,SH,1723924215
8,aasiaat,68.7098,-52.8699,274.97,93,80,1.86,GL,1723924215
9,bubaque,11.2833,-15.8333,298.09,93,100,8.18,GW,1723924215
10,sofifi,0.7349,127.576,298.49,85,100,0.89,ID,1723924215
11,dinguiraye,11.3,-10.7167,294.34,98,100,1.53,GN,1723924215
12,saipan,15.1355,145.701,301.54,89,75,5.14,MP,1723924215
13,south hedland,-20.4089,118.5983,293.11,83,0,5.14,AU,1723924215
14,kodiak,57.79,-152.4072,284.88,100,100,2.06,US,1723924215
15,aykol,38.1751,77.2132,302.58,20,91,4.79,CN,1723924215
16,mount pearl,47.5166,-52.7813,296.34,60,40,6.69,CA,1723924176
17,ginir,7.1333,40.7,290.2,71,67,4.05,ET,1723924215
18,klyuchi,52.2667,79.1667,292.75,43,100,1.98,RU,1723924215
19,grytviken,-54.2811,-36.5092,268.09,53,81,4.56,GS,1723924215
20,saint-pierre,-21.3393,55.4781,294.97,68,0,8.23,RE,1723924215
21,altai,46.3722,96.2583,288.55,29,1,0.52,MN,1723924215
22,touros,-5.1989,-35.4608,298.26,69,8,7.14,BR,1723924215
23,ojinaga,29.5667,-104.4167,314.02,20,40,3.09,MX,1723924215
24,aykhal,66.0,111.5,284.05,71,63,3.54,RU,1723924215
25,minas de marcona,-15.2119,-75.1103,290.33,52,3,5.16,PE,1723924215
26,quellon,-43.1167,-73.6167,280.21,80,76,2.39,CL,1723924215
27,inari,68.906,27.0288,285.84,70,95,0.84,FI,1723924215
28,kulhudhuffushi,6.6221,73.07,299.78,83,100,12.55,MV,1723924215
29,yellowknife,62.456,-114.3525,293.38,59,40,7.72,CA,1723924215
30,margaret river,-33.95,115.0667,286.17,71,100,11.43,AU,1723924216
31,tiksi,71.6872,128.8694,283.4,63,15,4.39,RU,1723924216
32,gunjur,13.2019,-16.7339,300.19,94,75,2.06,GM,1723924216
33,port-aux-francais,-49.35,70.2167,274.38,62,100,13.41,TF,1723924216
34,port elizabeth,-33.918,25.5701,286.31,95,0,0.89,ZA,1723924154
35,ambodifotatra,-16.9833,49.85,296.52,78,99,8.37,MG,1723924216
36,ribeira grande,38.5167,-28.7,300.37,74,20,2.06,PT,1723924216
37,turinskaya sloboda,57.6232,64.3858,284.01,95,15,1.94,RU,1723924216
